School,G,W,L,WLPerc,FT,FTA,FTPerc,,,,,,,,,,,,,,,,,,,,,,,
2021 Oral Roberts,29,18,11,0.621,407,496,0.821,,,,,,,,,,,,,,,,,,,,,,,
2021 Colorado,32,23,9,0.719,438,535,0.819,,,,,,,,,,,,,,,,,,,,,,,
2021 Virginia,25,18,7,0.72,235,288,0.816,,,,,,,,,,,,,,,,,,,,,,,
2021 Detroit Mercy,22,12,10,0.545,262,326,0.804,,,,,,,,,,,,,,,,,,,,,,,
2021 Lafayette,15,9,6,0.6,226,281,0.804,,,,,,,,,,,,,,,,,,,,,,,
2020 North Dakota State,33,25,8,0.758,490,614,0.798,,,,,,,,,,,,,,,,,,,,,,,
2020 Kentucky,31,25,6,0.806,560,703,0.797,,,,,,,,,,,,,,,,,,,,,,,
2020 Pepperdine,32,16,16,0.5,506,639,0.792,,,,,,,,,,,,,,,,,,,,,,,
2020 Northeastern,33,17,16,0.515,366,463,0.79,,,,,,,,,,,,,,,,,,,,,,,
2020 Western Kentucky,30,20,10,0.667,527,668,0.789,,,,,,,,,,,,,,,,,,,,,,,
2019 Incarnate Word,31,6,25,0.194,448,553,0.81,,,,,,,,,,,,,,,,,,,,,,,
2019 Hofstra,35,27,8,0.771,615,767,0.802,,,,,,,,,,,,,,,,,,,,,,,
2019 California Baptist,31,16,15,0.516,454,576,0.788,,,,,,,,,,,,,,,,,,,,,,,
2019 Hampton,35,18,17,0.514,622,790,0.787,,,,,,,,,,,,,,,,,,,,,,,
2019 Mississippi,33,20,13,0.606,461,589,0.783,,,,,,,,,,,,,,,,,,,,,,,
2018 William & Mary,31,19,12,0.613,479,591,0.81,,,,,,,,,,,,,,,,,,,,,,,
2018 Central Michigan,36,21,15,0.583,573,711,0.806,,,,,,,,,,,,,,,,,,,,,,,
2018 Marquette,35,21,14,0.6,483,600,0.805,,,,,,,,,,,,,,,,,,,,,,,
2018 Davidson ,33,21,12,0.636,368,461,0.798,,,,,,,,,,,,,,,,,,,,,,,
2018 Liberty,37,22,15,0.595,523,660,0.792,,,,,,,,,,,,,,,,,,,,,,,
2017 Notre Dame,36,26,10,0.722,489,611,0.8,,,,,,,,,,,,,,,,,,,,,FT,FTA,FT%
2017 Central Michigan,32,16,16,0.5,603,762,0.791,,,,,,,,,,,,,,,,,,,,,,,_
2017 Villanova ,36,32,4,0.889,538,681,0.79,,,,,,,,,,,,,,,,,,,,,489,611,0.8
2017 Oklahoma State ,33,20,13,0.606,620,786,0.789,,,,,,,,,,,,,,,,,,,,,603,762,0.791
2017 Mercer,32,15,17,0.469,449,574,0.782,,,,,,,,,,,,,,,,,,,,,538,681,0.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,786,0.789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,574,0.782